Marca_temporal,Departamento,Municipio,FechaHora,Incidente,SubIncidente,Coordenadas,latitud,Longitud
2024-01-01T09:13:26.128Z,Francisco Morazan ,Distrito Central,2024-01-01T07:47:00Z,Accidente de Transito,Colisión,"13.934115081849372, -87.22848274184179",13.934115081849372,-87.22848274184179
2024-01-01T09:21:16.032Z,Comayagua ,Comayagua ,2024-01-01T08:12:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.449135170856962, -87.64616096775296",14.449135170856962,-87.64616096775296
2024-01-01T09:24:07.779Z,Intibuca ,La Esperanza ,2024-01-01T08:23:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.310573860750768, -88.16195159952343",14.310573860750768,-88.16195159952343
2024-01-01T09:28:05.244Z,Olancho ,Juticalpa ,2024-01-01T08:08:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.65695195338336, -86.21044726870022",14.65695195338336,-86.21044726870022
2024-01-01T09:37:29.175Z,Francisco Morazan ,Distrito Central,2024-01-01T06:46:00Z,Accidente de Transito,Colisión,"14.048168560340912, -87.21319676917052",14.048168560340912,-87.21319676917052
2024-01-01T09:37:49.089Z,Francisco Morazan ,Distrito Central,2024-01-01T07:50:00Z,Delitos Contra La Propiedad,Robo A Personas,"14.159946585484647, -87.20331260167113",14.159946585484647,-87.20331260167113
2024-01-01T09:40:51.549Z,Francisco Morazan ,Distrito Central,2024-01-01T07:10:00Z,Accidente de Transito,Colisión,"14.012204450320368, -87.18520392414887",14.012204450320368,-87.18520392414887
2024-01-01T09:43:46.151Z,Francisco Morazan ,Distrito Central,2024-01-01T06:34:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.070846781823153, -87.2190571077196",14.070846781823153,-87.2190571077196
2024-01-01T09:49:14.969Z,Francisco Morazan ,Distrito Central,2024-01-01T06:51:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.10562193354182, -87.15390783351096",14.10562193354182,-87.15390783351096
2024-01-01T09:52:56.676Z,Francisco Morazan ,Distrito Central,2024-01-01T07:36:00Z,Emergencia Medica,Teleconsulta,"14.102331676434448, -87.16645320991181",14.102331676434448,-87.16645320991181
2024-01-01T10:01:40.537Z,Gracias a Dios ,Puerto Lempira ,2024-01-01T06:48:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"15.257482066475486, -83.77798760951217",15.257482066475486,-83.77798760951217
2024-01-01T10:07:53.506Z,Intibuca ,San Marcos de La Sierra ,2024-01-01T06:42:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.117043686688739, -88.25623698111946",14.117043686688739,-88.25623698111946
2024-01-01T10:10:29.028Z,Francisco Morazan ,Distrito Central,2024-01-01T07:47:00Z,Emergencia Medica,Emergencia Médica,"14.135658874140193, -87.21645883992764",14.135658874140193,-87.21645883992764
2024-01-01T10:11:10.838Z,La Paz ,Cane ,2024-01-01T07:09:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.2800596137499, -87.65651146492111",14.2800596137499,-87.65651146492111
2024-01-01T10:15:47.219Z,Olancho ,Mangulile ,2024-01-01T06:30:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"15.0369587138671, -86.81972197276558",15.0369587138671,-86.81972197276558
2024-01-01T10:20:08.842Z,Olancho ,Juticalpa ,2024-01-01T06:40:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.663953994396273, -86.21856176273526",14.663953994396273,-86.21856176273526
2024-01-01T10:21:18.308Z,Francisco Morazan ,Distrito Central,2024-01-01T08:49:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.057163348824568, -87.22741750901376",14.057163348824568,-87.22741750901376
2024-01-01T10:24:05.26Z,Olancho ,San Esteban ,2024-01-01T06:44:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"15.214183748647036, -85.77362904936918",15.214183748647036,-85.77362904936918
2024-01-01T10:25:41.136Z,Francisco Morazan ,Distrito Central,2024-01-01T07:43:00Z,Emergencia Medica,Emergencia Médica,"14.045459884864623, -87.21169957440102",14.045459884864623,-87.21169957440102
2024-01-01T10:27:46.753Z,Francisco Morazan ,Distrito Central,2024-01-01T08:52:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.066528387297291, -87.16256458057713",14.066528387297291,-87.16256458057713
2024-01-01T10:29:47.349Z,Olancho ,Santa Mariá Del Real ,2024-01-01T07:17:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.827744129255075, -85.93218856658676",14.827744129255075,-85.93218856658676
2024-01-01T10:35:05.152Z,Francisco Morazan ,Distrito Central,2024-01-01T07:24:00Z,Delitos Contra La Propiedad,Robo A Vivienda,"14.098758818931891, -87.18020727443597",14.098758818931891,-87.18020727443597
2024-01-01T10:39:36.071Z,La Paz ,San José ,2024-01-01T07:44:00Z,Emergencia Medica,Emergencia Médica,"14.245076638671371, -87.95882693418224",14.245076638671371,-87.95882693418224
2024-01-01T10:48:05.143Z,Francisco Morazan ,Distrito Central,2024-01-01T08:15:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.82009871834429, -87.25233432996009",13.82009871834429,-87.25233432996009
2024-01-01T10:50:19.601Z,Francisco Morazan ,Distrito Central,2024-01-01T06:31:00Z,Accidente de Transito,Colisión,"14.108691471758943, -87.22978245313968",14.108691471758943,-87.22978245313968
2024-01-01T10:56:05.998Z,Francisco Morazan ,San Buenaventura ,2024-01-01T09:07:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.899981609015386, -87.2039293463055",13.899981609015386,-87.2039293463055
2024-01-01T10:57:14.923Z,Comayagua ,Siguatepeque ,2024-01-01T07:02:00Z,Emergencia Medica,Emergencia Médica,"14.592302850011663, -87.83874054741317",14.592302850011663,-87.83874054741317
2024-01-01T11:02:29.956Z,Francisco Morazan ,Distrito Central,2024-01-01T10:10:00Z,Delitos Contra La Propiedad,Robo A Personas,"14.082858, -87.163769",14.082858,-87.163769
2024-01-01T11:05:13.443Z,Choluteca ,Marcovia ,2024-01-01T00:42:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.290592, -87.304809",13.290592,-87.304809
2024-01-01T11:06:48.239Z,Choluteca ,Namasigüe ,2024-01-01T00:55:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.153866, -87.149058",13.153866,-87.149058
2024-01-01T11:08:06.475Z,Choluteca ,El Triunfo ,2024-01-01T01:15:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.115129, -86.990471",13.115129,-86.990471
2024-01-01T11:09:01.918Z,Olancho ,Juticalpa ,2024-01-01T08:31:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.650807085058695, -86.22658342035334",14.650807085058695,-86.22658342035334
2024-01-01T11:11:35.323Z,El Paraiso ,Danlí,2024-01-01T10:09:00Z,Delitos Contra La Propiedad,Robo De Vehículo Automotor,"14.04112389818254, -86.56960577349413",14.04112389818254,-86.56960577349413
2024-01-01T11:14:36.392Z,Valle,Nacaome ,2024-01-01T01:13:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.467145, -87.548965",13.467145,-87.548965
2024-01-01T11:15:27.177Z,Olancho ,Mangulile ,2024-01-01T08:41:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"15.038226349354114, -86.81781427053204",15.038226349354114,-86.81781427053204
2024-01-01T11:16:11.335Z,Choluteca ,El Triunfo ,2024-01-01T01:27:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.102294, -86.982093",13.102294,-86.982093
2024-01-01T11:17:26.585Z,Valle,San Lorenzo,2024-01-01T01:27:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.436393, -87.460035",13.436393,-87.460035
2024-01-01T11:19:14.317Z,Choluteca ,Choluteca ,2024-01-01T01:29:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.301657, -87.163943",13.301657,-87.163943
2024-01-01T11:20:08.827Z,Olancho ,Guayape ,2024-01-01T08:42:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.788642205422544, -86.8628927592394",14.788642205422544,-86.8628927592394
2024-01-01T11:24:23.202Z,Olancho ,Catacamas ,2024-01-01T09:02:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.83304880972628, -85.88370328833113",14.83304880972628,-85.88370328833113
2024-01-01T11:32:12.885Z,Choluteca ,Choluteca ,2024-01-01T02:26:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.287272, -87.194586",13.287272,-87.194586
2024-01-01T11:34:20.485Z,Choluteca ,Choluteca ,2024-01-01T02:24:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.318651, -87.174668",13.318651,-87.174668
2024-01-01T11:35:50.952Z,Choluteca ,Apacilagua ,2024-01-01T02:47:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.479749, -87.073066",13.479749,-87.073066
2024-01-01T11:35:59.232Z,Francisco Morazan ,Distrito Central,2024-01-01T09:24:00Z,Accidente de Transito,Colisión,"14.079683052904999, -87.24977225119666",14.079683052904999,-87.24977225119666
2024-01-01T11:37:10.382Z,Choluteca ,Marcovia ,2024-01-01T03:01:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.337182, -87.261386",13.337182,-87.261386
2024-01-01T11:38:31.719Z,Valle,San Lorenzo,2024-01-01T03:08:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.435976, -87.455743",13.435976,-87.455743
2024-01-01T11:40:43.919Z,Francisco Morazan ,Distrito Central,2024-01-01T09:36:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.082900, -87.230772",14.082900,-87.230772
2024-01-01T11:55:30.712Z,Francisco Morazan ,Valle de Angeles ,2024-01-01T10:03:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.128804, -87.036245",14.128804,-87.036245
2024-01-01T11:58:52.601Z,Valle,San Francisco de Coray,2024-01-01T03:30:00Z,Accidente de Transito,Colisión,"13.445994, -87.454627",13.445994,-87.454627
2024-01-01T12:00:39.242Z,Valle,Nacaome ,2024-01-01T04:01:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.578945, -87.615747",13.578945,-87.615747
2024-01-01T12:00:45.704Z,Francisco Morazan ,Guaimaca ,2024-01-01T10:11:00Z,Delitos Contra la Niñez Adolescencia,Maltrato Familiar,"14.549688493822359, -86.82778380395597",14.549688493822359,-86.82778380395597
2024-01-01T12:01:57.49Z,Choluteca ,Choluteca ,2024-01-01T04:20:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.332462, -87.131145",13.332462,-87.131145
2024-01-01T12:07:50.938Z,Intibuca ,San Isidro ,2024-01-01T10:14:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.566992972089158, -88.11109918213343",14.566992972089158,-88.11109918213343
2024-01-01T12:08:09.72Z,Francisco Morazan ,Distrito Central,2024-01-01T08:47:00Z,Accidente de Transito,Atropello,"14.123209741395659, -87.20431656372821",14.123209741395659,-87.20431656372821
2024-01-01T12:11:42.179Z,Francisco Morazan ,Distrito Central,2024-01-01T10:25:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.0973304941931, -87.1703215735974",14.0973304941931,-87.1703215735974
2024-01-01T12:15:28.537Z,El Paraiso ,Danlí,2024-01-01T10:12:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.041290430569234, -86.56960577349413",14.041290430569234,-86.56960577349413
2024-01-01T12:20:35.101Z,Comayagua ,La Libertad ,2024-01-01T09:57:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.760129817687911, -87.60583879060444",14.760129817687911,-87.60583879060444
2024-01-01T12:25:48.469Z,Intibuca ,La Esperanza ,2024-01-01T09:54:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.309312766078886, -88.17706175246579",14.309312766078886,-88.17706175246579
2024-01-01T12:29:38.721Z,La Paz ,Opatoro ,2024-01-01T09:55:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.089513820990165, -87.8933179026678",14.089513820990165,-87.8933179026678
2024-01-01T12:35:06.782Z,Comayagua ,Comayagua ,2024-01-01T10:23:00Z,Emergencia Medica,Emergencia Médica,"14.449135170856962, -87.6478775814801",14.449135170856962,-87.6478775814801
2024-01-01T12:39:17.935Z,Francisco Morazan ,Distrito Central,2024-01-01T10:30:00Z,Accidente de Transito,Colisión,"14.083731579308632, -87.1705819433543",14.083731579308632,-87.1705819433543
2024-01-01T12:44:36.939Z,Francisco Morazan ,Distrito Central,2024-01-01T11:20:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.105257693833932, -87.21539368459871",14.105257693833932,-87.21539368459871
2024-01-01T12:46:45.989Z,Francisco Morazan ,Distrito Central,2024-01-01T10:14:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.976464, -87.204414",13.976464,-87.204414
2024-01-01T12:47:21.07Z,El Paraiso ,Danlí,2024-01-01T10:31:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.050335708949408, -86.56780325949336",14.050335708949408,-86.56780325949336
2024-01-01T13:34:49.987Z,Francisco Morazan ,Distrito Central,2024-01-01T11:33:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.067207928508376, -87.16148928261892",14.067207928508376,-87.16148928261892
2024-01-01T13:40:39.476Z,Francisco Morazan ,Distrito Central,2024-01-01T12:04:00Z,Delitos Contra La Propiedad,Hurto De Vehículo,"14.103120030359346, -87.21609240615233",14.103120030359346,-87.21609240615233
2024-01-01T13:48:23.599Z,Choluteca ,Choluteca ,2024-01-01T04:25:00Z,Emergencia Medica,Emergencia Médica,"13.284327, -87.181637",13.284327,-87.181637
2024-01-01T13:51:11.201Z,Valle,Nacaome ,2024-01-01T04:33:00Z,Delitos Contra La Propiedad,Hurto De Vehículo,"13.530938, -87.492585",13.530938,-87.492585
2024-01-01T13:53:29.955Z,Valle,San Lorenzo,2024-01-01T04:42:00Z,Accidente de Transito,Colisión,"13.451249, -87.452711",13.451249,-87.452711
2024-01-01T13:55:14.808Z,Choluteca ,Choluteca ,2024-01-01T05:20:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.332798, -87.131350",13.332798,-87.131350
2024-01-01T13:57:22.919Z,Francisco Morazan ,Distrito Central,2024-01-01T12:01:00Z,Accidente de Transito,Choque,"14.038910277109029, -87.23162906485531",14.038910277109029,-87.23162906485531
2024-01-01T13:57:43.47Z,Choluteca ,Choluteca ,2024-01-01T05:54:00Z,Emergencia Medica,Emergencia Médica,"13.297963, -87.189860",13.297963,-87.189860
2024-01-01T13:59:18.887Z,Choluteca ,Choluteca ,2024-01-01T06:16:00Z,Accidente de Transito,Choque,"13.294962, -87.195933",13.294962,-87.195933
2024-01-01T14:00:41.931Z,Olancho ,Catacamas ,2024-01-01T10:45:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.837799635811358, -85.89343178567553",14.837799635811358,-85.89343178567553
2024-01-01T14:00:51.941Z,Choluteca ,Choluteca ,2024-01-01T06:23:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.321408, -87.201072",13.321408,-87.201072
2024-01-01T14:03:08.622Z,Choluteca ,El Triunfo ,2024-01-01T06:58:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.287856, -87.335794",13.287856,-87.335794
2024-01-01T14:04:27.867Z,Olancho ,Juticalpa ,2024-01-01T10:46:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.663273600138831, -86.21693646500263",14.663273600138831,-86.21693646500263
2024-01-01T14:04:32.046Z,Choluteca ,El Corpus ,2024-01-01T06:58:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.120353, -86.992703",13.120353,-86.992703
2024-01-01T14:08:20.545Z,Choluteca ,Orocuina ,2024-01-01T07:20:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.482200, -87.106240",13.482200,-87.106240
2024-01-01T14:13:13.974Z,Choluteca ,Marcovia ,2024-01-01T08:05:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.217480, -87.444590",13.217480,-87.444590
2024-01-01T14:15:47.762Z,Valle,San Lorenzo,2024-01-01T08:31:00Z,Emergencia Medica,Emergencia Médica,"13.452066, -87.452750",13.452066,-87.452750
2024-01-01T14:17:32.167Z,Choluteca ,Choluteca ,2024-01-01T08:46:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"13.308253, -87.148798",13.308253,-87.148798
2024-01-01T14:22:07.437Z,Choluteca ,San Marcos de Colón ,2024-01-01T09:24:00Z,Delitos Contra La Propiedad,Robo A Vehículo Automotor,"13.437457, -86.801348",13.437457,-86.801348
2024-01-01T14:23:09.669Z,Comayagua ,San José de Comayagua ,2024-01-01T12:27:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.729210145126466, -88.03400525458962",14.729210145126466,-88.03400525458962
2024-01-01T14:23:51.038Z,Choluteca ,Choluteca ,2024-01-01T09:47:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.301561, -87.175983",13.301561,-87.175983
2024-01-01T14:25:02.776Z,Valle,Nacaome ,2024-01-01T09:50:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.465080, -87.514824",13.465080,-87.514824
2024-01-01T14:26:14.276Z,Francisco Morazan ,Distrito Central,2024-01-01T11:11:00Z,Accidente de Transito,Colisión,"14.099461332964847, -87.15822111653503",14.099461332964847,-87.15822111653503
2024-01-01T14:27:17.337Z,Choluteca ,Marcovia ,2024-01-01T10:13:00Z,Emergencia Medica,Emergencia Médica,"13.258200, -87.348046",13.258200,-87.348046
2024-01-01T14:30:16.351Z,Choluteca ,Namasigüe ,2024-01-01T10:21:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.229353, -87.154069",13.229353,-87.154069
2024-01-01T14:31:51.151Z,Choluteca ,El Triunfo ,2024-01-01T10:30:00Z,Delitos Contra La Propiedad,Robo A Vivienda,"13.115756, -86.990814",13.115756,-86.990814
2024-01-01T14:32:16.829Z,El Paraiso ,El Paraíso ,2024-01-01T10:34:00Z,Emergencia Medica,Emergencia Médica,"13.866578311509487, -86.55148258762824",13.866578311509487,-86.55148258762824
2024-01-01T14:33:14.61Z,Valle,Nacaome ,2024-01-01T10:51:00Z,Incendio,Zacatera,"13.533823, -87.447498",13.533823,-87.447498
2024-01-01T14:34:25.737Z,El Paraiso ,Danlí,2024-01-01T11:40:00Z,Delitos Contra La Propiedad,Robo A Vivienda,"14.042123090686802, -86.57115072584857",14.042123090686802,-86.57115072584857
2024-01-01T14:36:25.849Z,El Paraiso ,Danlí,2024-01-01T10:51:00Z,Emergencia Medica,Emergencia Médica,"14.048284679715985, -86.57406894750058",14.048284679715985,-86.57406894750058
2024-01-01T14:42:50.51Z,Francisco Morazan ,Ojojona ,2024-01-01T12:02:00Z,Emergencia Medica,Emergencia Médica,"13.937211777811784, -87.29435924171827",13.937211777811784,-87.29435924171827
2024-01-01T14:43:08.191Z,Valle,San Lorenzo,2024-01-01T10:50:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.438115, -87.461700",13.438115,-87.461700
2024-01-01T14:44:33.113Z,Valle,San Lorenzo,2024-01-01T10:58:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"13.436065, -87.449742",13.436065,-87.449742
2024-01-01T14:46:13.835Z,Valle,Aramecina ,2024-01-01T11:08:00Z,Delitos Contra La Muje u Hombre,Violación Sexual,"13.750854, -87.704794",13.750854,-87.704794
2024-01-01T14:48:44.872Z,Valle,Nacaome ,2024-01-01T11:13:00Z,Incendio,Forestal,"13.532169, -87.501986",13.532169,-87.501986
2024-01-01T14:50:12.064Z,Choluteca ,El Triunfo ,2024-01-01T11:16:00Z,Delitos Contra La Propiedad,Robo A Vivienda,"13.118096, -86.993475",13.118096,-86.993475
2024-01-01T15:14:33.954Z,Francisco Morazan ,Distrito Central,2024-01-01T12:56:00Z,Accidente de Transito,Despiste,"14.050296477541803, -87.1818865053978",14.050296477541803,-87.1818865053978
2024-01-01T15:26:06.458Z,Francisco Morazan ,Distrito Central,2024-01-01T13:40:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.061847, -87.239181",14.061847,-87.239181
2024-01-01T15:26:19.695Z,Francisco Morazan ,Tatumbla ,2024-01-01T13:03:00Z,Accidente de Transito,Colisión,"14.010367146880082, -87.09974066341134",14.010367146880082,-87.09974066341134
2024-01-01T15:32:49.66Z,Francisco Morazan ,Distrito Central,2024-01-01T13:48:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.011983876181006, -87.20330022287484",14.011983876181006,-87.20330022287484
2024-01-01T15:36:31.673Z,Francisco Morazan ,Distrito Central,2024-01-01T14:03:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.082585, -87.163180",14.082585,-87.163180
2024-01-01T15:38:49.585Z,Francisco Morazan ,Guaimaca ,2024-01-01T14:03:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.550103883974957, -86.82744048121054",14.550103883974957,-86.82744048121054
2024-01-01T15:42:48.179Z,Comayagua ,San Sebastián ,2024-01-01T14:02:00Z,Delitos Contra La Muje u Hombre,Maltrato Familiar,"14.24397464527365, -87.63945215959937",14.24397464527365,-87.63945215959937
2024-01-01T15:44:22.966Z,Francisco Morazan ,Distrito Central,2024-01-01T12:32:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.02194079706239, -87.20322093424801",14.02194079706239,-87.20322093424801
2024-01-01T15:46:15.19Z,Comayagua ,Comayagua ,2024-01-01T14:10:00Z,Delitos Contra La Muje u Hombre,Violencia Doméstica,"14.449800096441582, -87.64753425873464",14.449800096441582,-87.64753425873464
